,0,1,2
29,https://www.amazon.com.br/iPhone-Apple-Traseira-Resistente-Reconhecimento/dp/B07P6Y7954/ref=sr_1_30?dchild=1&keywords=iphone&qid=1607914782&sr=8-30,"4,5 de 5 estrelas",2.840
30,https://www.amazon.com.br/Apple-Iphone-128GB-Preto-Desbloqueado/dp/B08L7S2WC4/ref=sr_1_31?dchild=1&keywords=iphone&qid=1607914782&sr=8-31,Sem avaliação,Sem avaliação
31,https://www.amazon.com.br/Iphone-64gb-Cinza-Espacial-Lacrado/dp/B075TKSDL4/ref=sr_1_32?dchild=1&keywords=iphone&qid=1607914782&sr=8-32,"4,6 de 5 estrelas",455
32,https://www.amazon.com.br/Compat%C3%ADvel-Apple-iPhone-11-6-1/dp/B07XRVC9BD/ref=sr_1_33?dchild=1&keywords=iphone&qid=1607914782&sr=8-33,"4,3 de 5 estrelas",156
33,https://www.amazon.com.br/iPhone-Pro-Max-Tela-Polegadas/dp/B07Z6PFN15/ref=sr_1_34?dchild=1&keywords=iphone&qid=1607914782&sr=8-34,"5,0 de 5 estrelas",2
34,https://www.amazon.com.br/Pel%C3%ADcula-Vidro-Temperado-Camera-Iphone/dp/B08P66CC54/ref=sr_1_35?dchild=1&keywords=iphone&qid=1607914782&sr=8-35,Sem avaliação,Sem avaliação
35,https://www.amazon.com.br/iPhone-64GB-Black-Desbloqueado-Apple/dp/B088C5JVXS/ref=sr_1_36?dchild=1&keywords=iphone&qid=1607914782&sr=8-36,"3,7 de 5 estrelas",7
36,https://www.amazon.com.br/Iphone-Apple-Verde-meia-noite-Desbloqueado/dp/B07Z5F41N5/ref=sr_1_37?dchild=1&keywords=iphone&qid=1607914782&sr=8-37,Sem avaliação,Sem avaliação
37,https://www.amazon.com.br/iPhone-32GB-Preto-Matte-Retina/dp/B07D4PSY31/ref=sr_1_38?dchild=1&keywords=iphone&qid=1607914782&sr=8-38,"3,6 de 5 estrelas",9
38,https://www.amazon.com.br/Smartphone-LG-Platinum-Camera-Traseira/dp/B07YBKGHKY/ref=sr_1_39?dchild=1&keywords=iphone&qid=1607914782&sr=8-39,"4,5 de 5 estrelas",344
39,https://www.amazon.com.br/Carregamento-Ultrarr%C3%A1pido-Carregador-acompanha-Geonav/dp/B082J9YNHQ/ref=sr_1_40?dchild=1&keywords=iphone&qid=1607914782&sr=8-40,"4,6 de 5 estrelas",41
40,https://www.amazon.com.br/Pel%C3%ADcula-Silicone-Flex%C3%ADvel-Iphone-Polegadas/dp/B085MHJFHB/ref=sr_1_41?dchild=1&keywords=iphone&qid=1607914782&sr=8-41,"2,5 de 5 estrelas",8
41,https://www.amazon.com.br/Iphone-Apple-Product-Retina-C%C3%A3%C2%A2Mera/dp/B07JJS4HLJ/ref=sr_1_42?dchild=1&keywords=iphone&qid=1607914782&sr=8-42,"4,4 de 5 estrelas",5
42,https://www.amazon.com.br/iPhone-7-Plus-128GB-Dourado/dp/B075L4DC8J/ref=sr_1_43?dchild=1&keywords=iphone&qid=1607914782&sr=8-43,"5,0 de 5 estrelas",3
43,https://www.amazon.com.br/Novo-Apple-iPhone-128-Branco/dp/B08L5S4CRB/ref=sr_1_44?dchild=1&keywords=iphone&qid=1607914782&sr=8-44,"5,0 de 5 estrelas",1
44,https://www.amazon.com.br/iPhone-2020-User-Guide-Screenshots/dp/B08DBYPSNF/ref=sr_1_45?dchild=1&keywords=iphone&qid=1607914782&sr=8-45,"3,0 de 5 estrelas",9
45,https://www.amazon.com.br/Lightning-Powerline-Anker-11132074-Vermelho/dp/B07F6SFWWX/ref=sr_1_46?dchild=1&keywords=iphone&qid=1607914782&sr=8-46,"4,6 de 5 estrelas",484
46,https://www.amazon.com.br/Veicular-Carregador-Lightning-GEONAV-LIGH31/dp/B076KCCRP3/ref=sr_1_47?dchild=1&keywords=iphone&qid=1607914782&sr=8-47,"3,7 de 5 estrelas",18
47,https://www.amazon.com.br/iPhone-Spigen-Ultra-Hybrid-Anti-Impacto/dp/B07T6Y2HG7/ref=sr_1_48?dchild=1&keywords=iphone&qid=1607914782&sr=8-48,"4,6 de 5 estrelas",16.465
48,https://www.amazon.com.br/Novo-Apple-iPhone-Mini-Preto/dp/B08L5PYTWY/ref=sr_1_49?dchild=1&keywords=iphone&qid=1607914788&sr=8-49,Sem avaliação,Sem avaliação
49,https://www.amazon.com.br/iPhone-WB-Liberty-Queda-Horizontal/dp/B08F16X6XM/ref=sr_1_50?dchild=1&keywords=iphone&qid=1607914788&sr=8-50,"4,4 de 5 estrelas",9
50,https://www.amazon.com.br/iPhone-Apple-Vermelho-Retina-Camera/dp/B07CLNFJKN/ref=sr_1_51?dchild=1&keywords=iphone&qid=1607914788&sr=8-51,"4,3 de 5 estrelas",26
51,https://www.amazon.com.br/iPhone-Spigen-Liquid-Black-Anti-Impacto/dp/B07GJKQD4Z/ref=sr_1_52?dchild=1&keywords=iphone&qid=1607914788&sr=8-52,"4,7 de 5 estrelas",10.725
52,https://www.amazon.com.br/Apple-Iphone-Cinza-Espacial-Lan%C3%A7amento/dp/B0779GBX99/ref=sr_1_53?dchild=1&keywords=iphone&qid=1607914788&sr=8-53,"4,5 de 5 estrelas",5
53,https://www.amazon.com.br/Iphone-Apple-Branco-256gb-Desbloqueado/dp/B088FXPB7D/ref=sr_1_54?dchild=1&keywords=iphone&qid=1607914788&sr=8-54,"5,0 de 5 estrelas",1
54,https://www.amazon.com.br/iPhone-Apple-Prata-Retina-C%C3%A2mera/dp/B0777TT2C2/ref=sr_1_55?dchild=1&keywords=iphone&qid=1607914788&sr=8-55,"4,6 de 5 estrelas",247
55,https://www.amazon.com.br/iPhone-Spigen-Ultra-Hybrid-Anti-Impacto/dp/B07T2N5544/ref=sr_1_56?dchild=1&keywords=iphone&qid=1607914788&sr=8-56,"4,7 de 5 estrelas",5.968
56,https://www.amazon.com.br/Abbery-compat%C3%ADvel-borboleta-diamante-telefone/dp/B08L4F6MH6/ref=sr_1_57?dchild=1&keywords=iphone&qid=1607914788&sr=8-57,"5,0 de 5 estrelas",2
57,https://www.amazon.com.br/Pel%C3%ADculas-Temperado-Original-Spigen-iPhone/dp/B07GX33WVR/ref=sr_1_58?dchild=1&keywords=iphone&qid=1607914788&sr=8-58,"4,7 de 5 estrelas",21.777
58,https://www.amazon.com.br/Capinha-iPhone-Vidro-Temperado-Transparente/dp/B08NXSVZL2/ref=sr_1_59?dchild=1&keywords=iphone&qid=1607914788&sr=8-59,Sem avaliação,Sem avaliação
59,https://www.amazon.com.br/Protetora-iPhone-Privilege-Flex%C3%ADvel-Transparente/dp/B07DPKPQCC/ref=sr_1_60?dchild=1&keywords=iphone&qid=1607914788&sr=8-60,"4,7 de 5 estrelas",12
60,https://www.amazon.com.br/IPhone-User-Guide-Illustrated-Beginners-ebook/dp/B08QG4VLP4/ref=sr_1_61?dchild=1&keywords=iphone&qid=1607914788&sr=8-61,Sem avaliação,Sem avaliação
61,https://www.amazon.com.br/Carregar-Anker-PowerPort-pot%C3%AAncia-Carregamento/dp/B07ZLCMRZ6/ref=sr_1_62?dchild=1&keywords=iphone&qid=1607914788&sr=8-62,"4,6 de 5 estrelas",93
62,https://www.amazon.com.br/Iphone-Crystal-Spigen-Anti-Impacto-Transparente/dp/B07GTF17NV/ref=sr_1_63?dchild=1&keywords=iphone&qid=1607914788&sr=8-63,"4,6 de 5 estrelas",7.026
